;A549CM8_S5-READs;A549CM4_S8-READs;A549CM1_S5-READs;A549CM2_S6-READs;A549KM4_S4-READs;A549KM1_S2-READs;A549CM3_S7-READs;A549KM0220321_S1-READs;A549KM2_S3-READs
hsa-miR-940;0;0;2;3;3;2;3;3;19
hsa-miR-941;245;24;126;158;110;95;119;201;507
hsa-miR-942-3p;4;2;4;7;8;0;5;1;21
hsa-miR-942-5p;76;45;80;129;98;103;104;77;489
hsa-miR-944;14;7;6;10;10;12;6;4;68
hsa-miR-95-3p;141;60;123;146;78;89;135;92;434
hsa-miR-95-5p;12;8;8;15;10;15;9;11;39
hsa-miR-96-3p;3;2;3;3;3;3;1;10;19
hsa-miR-96-5p;2,625;1,479;1,708;2,373;2,751;3,331;2,027;1,893;13,684
hsa-miR-98-3p;26;7;5;19;17;18;10;33;82
hsa-miR-98-5p;1,649;521;775;969;930;1,042;792;1,049;4,573
hsa-miR-99a-3p;33;17;19;22;33;32;18;36;191
hsa-miR-99a-5p;736;454;307;632;613;1,086;572;333;3,496
hsa-miR-99b-3p;412;152;276;316;390;410;300;484;2,046
hsa-miR-99b-5p;9,485;2,148;5,091;7,813;7,616;7,315;6,819;9,851;38,859
hsa_piR_000552/gb/DQ570687/Homo;14;10;12;15;5;8;9;17;52
hsa_piR_000560/gb/DQ570698/Homo;11;2;3;10;6;12;3;2;20
hsa_piR_000753/gb/DQ570940/Homo;7;0;4;2;4;3;7;4;13
hsa_piR_000765/gb/DQ570956/Homo;3,380;1,185;1,799;2,578;7,619;5,848;1,790;21,293;29,813
hsa_piR_000794/gb/DQ570992/Homo;108;26;48;63;34;30;42;42;183
hsa_piR_000796/gb/DQ570994/Homo;6;4;5;7;1;12;9;3;43
hsa_piR_000805/gb/DQ571003/Homo;31;20;45;39;37;38;52;38;246
hsa_piR_000823/gb/DQ571031/Homo;15;5;4;9;4;9;7;4;27
hsa_piR_001042/gb/DQ571335/Homo;30;11;18;26;18;18;15;13;74
hsa_piR_001101/gb/DQ571419/Homo;75;11;37;74;42;49;50;62;203
hsa_piR_001107/gb/DQ571425/Homo;1;1;3;1;3;1;5;2;23
hsa_piR_001152/gb/DQ571500/Homo;173;57;96;146;96;112;105;133;458
hsa_piR_001159/gb/DQ571511/Homo;34;28;25;34;33;39;49;17;161
hsa_piR_001168/gb/DQ571524/Homo;4;2;3;10;9;12;4;5;26
hsa_piR_001169/gb/DQ571525/Homo;34;21;22;28;39;48;21;33;203
hsa_piR_001170/gb/DQ571526/Homo;303;150;158;326;206;269;219;225;950
hsa_piR_001184/gb/DQ571550/Homo;8;4;2;5;1;4;4;2;15
hsa_piR_001311/gb/DQ571812/Homo;48;18;27;35;18;12;35;7;63
hsa_piR_001312/gb/DQ571813/Homo;194;119;151;188;101;106;148;78;533
hsa_piR_002158/gb/DQ572892/Homo;20;3;8;14;8;9;9;21;34
hsa_piR_002441/gb/DQ573293/Homo;4;2;7;11;4;5;15;5;20
hsa_piR_002852/gb/DQ573835/Homo;4;0;3;1;4;5;6;2;10
hsa_piR_004153/gb/DQ575660/Homo;159;29;40;75;67;79;66;251;364
hsa_piR_004271/gb/DQ575827/Homo;5;1;1;7;3;6;6;9;23
hsa_piR_004307/gb/DQ575881/Homo;189;124;167;248;126;158;205;80;655
hsa_piR_004308/gb/DQ575882/Homo;101;124;128;148;81;112;115;39;417
hsa_piR_004309/gb/DQ575884/Homo;9;14;12;15;5;9;14;2;28
hsa_piR_004506/gb/DQ576200/Homo;7;5;3;2;5;5;7;1;21
hsa_piR_004721/gb/DQ576479/Homo;47;23;57;33;28;25;52;29;184
hsa_piR_004801/gb/DQ576605/Homo;5;9;10;8;3;5;8;7;37
hsa_piR_004918/gb/DQ576766/Homo;1;1;1;6;1;2;3;2;10
hsa_piR_004962/gb/DQ576828/Homo;4;2;1;5;5;4;3;8;14
hsa_piR_004987/gb/DQ576872/Homo;143;72;105;158;88;100;100;75;417
hsa_piR_005271/gb/DQ577259/Homo;12;2;3;13;5;6;5;2;22
hsa_piR_005799/gb/DQ577967/Homo;2;0;1;3;2;4;5;11;13
hsa_piR_006426/gb/DQ578783/Homo;4;2;0;1;1;2;2;2;13
hsa_piR_006465/gb/DQ578832/Homo;7;0;3;6;4;3;4;6;15
hsa_piR_007294/gb/DQ579940/Homo;1;1;1;1;5;1;2;3;17
hsa_piR_007832/gb/DQ580660/Homo;1;1;3;3;4;6;2;1;15
hsa_piR_008112/gb/DQ581031/Homo;4,965;908;1,690;2,288;2,562;2,618;1,809;4,322;12,427
hsa_piR_008113/gb/DQ581032/Homo;7,317;1,305;2,859;3,934;4,634;4,657;3,232;6,329;23,664
hsa_piR_008114/gb/DQ581033/Homo;376;49;147;183;264;218;154;355;1,299
hsa_piR_009051/gb/DQ582264/Homo;74;60;48;84;55;77;79;58;317
hsa_piR_009154/gb/DQ582400/Homo;5;0;4;3;3;5;10;8;24
hsa_piR_009294/gb/DQ582566/Homo;20;6;13;9;10;12;7;12;71
hsa_piR_009295/gb/DQ582567/Homo;5;5;7;4;10;0;3;13;29
hsa_piR_009502/gb/DQ582827/Homo;9;2;6;4;2;0;3;0;11
hsa_piR_009901/gb/DQ583332/Homo;3;1;3;2;2;2;3;5;11
hsa_piR_009981/gb/DQ583434/Homo;2;1;4;3;1;2;4;2;15
hsa_piR_010024/gb/DQ583491/Homo;4;2;2;3;3;7;8;9;36
hsa_piR_010431/gb/DQ584049/Homo;4;1;1;1;4;5;2;8;19
hsa_piR_010894/gb/DQ584698/Homo;119;87;69;108;36;63;118;77;236
hsa_piR_011094/gb/DQ584967/Homo;0;1;0;3;1;1;1;1;12
hsa_piR_011187/gb/DQ585094/Homo;1;0;1;2;0;4;3;6;13
hsa_piR_011188/gb/DQ585095/Homo;6;3;5;13;3;5;7;10;32
hsa_piR_011734/gb/DQ585879/Homo;10;4;8;14;11;12;11;7;70
hsa_piR_012681/gb/DQ587153/Homo;244;48;154;274;150;166;171;273;850
hsa_piR_012734/gb/DQ587229/Homo;8;6;9;4;2;4;5;3;18
hsa_piR_012753/gb/DQ587269/Homo;18;7;12;14;10;21;15;23;80
hsa_piR_013194/gb/DQ587886/Homo;0;1;1;4;5;6;2;3;14
hsa_piR_013306/gb/DQ588040/Homo;3;2;1;7;5;5;5;6;26
hsa_piR_013665/gb/DQ588661/Homo;2;0;1;1;0;2;0;0;10
hsa_piR_013745/gb/DQ588779/Homo;0;0;3;6;2;2;4;5;19
hsa_piR_013855/gb/DQ588925/Homo;0;1;4;8;2;3;5;3;15
hsa_piR_014620/gb/DQ590013/Homo;201;121;179;250;54;53;252;110;196
hsa_piR_014626/gb/DQ590020/Homo;5;2;1;5;5;0;0;4;10
hsa_piR_014636/gb/DQ590030/Homo;2;1;1;3;0;4;5;4;14
hsa_piR_014923/gb/DQ590404/Homo;12;1;1;6;2;1;2;0;7
hsa_piR_015026/gb/DQ590548/Homo;1,117;666;944;1,097;971;883;899;839;4,681
hsa_piR_015149/gb/DQ590703/Homo;1;1;0;3;1;4;2;1;15
hsa_piR_015150/gb/DQ590704/Homo;2;2;2;7;7;3;3;17;33
hsa_piR_015249/gb/DQ590830/Homo;6;4;6;10;8;7;4;10;38
hsa_piR_016218/gb/DQ592121/Homo;3;1;4;1;2;7;1;1;19
hsa_piR_016374/gb/DQ592313/Homo;4;0;6;7;1;2;3;9;18
hsa_piR_016658/gb/DQ592931/Homo;796;199;562;1,092;255;191;725;268;1,167
hsa_piR_016659/gb/DQ592932/Homo;1,283;305;953;1,645;304;203;1,157;328;1,285
hsa_piR_016677/gb/DQ592953/Homo;152;113;131;197;64;69;137;46;344
hsa_piR_016735/gb/DQ593039/Homo;30;81;27;62;35;102;124;35;481
hsa_piR_016742/gb/DQ593049/Homo;343;148;217;307;119;137;242;109;704
hsa_piR_016745/gb/DQ593052/Homo;14;21;17;27;12;31;24;3;99
hsa_piR_016792/gb/DQ593109/Homo;7;2;3;13;4;5;20;14;46
hsa_piR_016926/gb/DQ593325/Homo;5;2;0;6;3;4;4;2;18
hsa_piR_016945/gb/DQ593356/Homo;100;41;50;57;50;41;72;52;224
hsa_piR_016946/gb/DQ593358/Homo;165;89;124;208;87;125;120;76;422
hsa_piR_016970/gb/DQ593407/Homo;22;11;23;24;17;15;23;18;66
hsa_piR_016984/gb/DQ593431/Homo;8;7;9;6;10;12;6;12;48
hsa_piR_017033/gb/DQ593538/Homo;559;95;190;301;230;289;212;384;1,165
hsa_piR_017061/gb/DQ593574/Homo;76;30;38;82;57;59;60;62;226
hsa_piR_017094/gb/DQ593621/Homo;8;0;1;1;0;1;3;0;12
hsa_piR_017104/gb/DQ593636/Homo;6;4;6;5;1;8;6;3;14
hsa_piR_017178/gb/DQ593744/Homo;1;3;1;3;3;1;1;11;6
hsa_piR_017194/gb/DQ593767/Homo;3;4;4;5;3;4;3;8;22
hsa_piR_017295/gb/DQ593909/Homo;4;2;1;1;3;1;1;4;15
hsa_piR_017318/gb/DQ593939/Homo;4;1;1;4;3;6;4;3;16
hsa_piR_017716/gb/DQ594453/Homo;454;198;332;559;238;279;409;327;1,299
hsa_piR_017723/gb/DQ594464/Homo;24;22;25;31;17;14;29;6;101
hsa_piR_017724/gb/DQ594465/Homo;107;208;128;193;92;151;170;30;609
hsa_piR_017791/gb/DQ594556/Homo;67;13;27;47;53;49;50;88;276
hsa_piR_017936/gb/DQ594740/Homo;9;3;3;5;1;2;2;10;15
hsa_piR_018165/gb/DQ595023/Homo;15;5;10;15;12;10;10;6;33
hsa_piR_018292/gb/DQ595186/Homo;6;6;8;19;9;12;6;9;69
hsa_piR_018569/gb/DQ595533/Homo;17;12;16;12;16;6;17;2;52
hsa_piR_018570/gb/DQ595536/Homo;967;564;800;910;588;477;828;484;2,389
hsa_piR_018573/gb/DQ595539/Homo;2;3;6;6;1;1;7;5;11
hsa_piR_018780/gb/DQ595807/Homo;14;4;11;10;10;13;8;13;63
hsa_piR_018849/gb/DQ595899/Homo;315;47;134;144;144;100;128;175;625
hsa_piR_018883/gb/DQ595941/Homo;2;1;2;1;2;0;1;3;10
hsa_piR_019050/gb/DQ596155/Homo;3;3;3;5;1;3;2;11;16
hsa_piR_019179/gb/DQ596327/Homo;5;2;1;11;1;6;5;6;20
hsa_piR_019420/gb/DQ596670/Homo;8;4;3;5;5;5;5;29;26
hsa_piR_019521/gb/DQ596805/Homo;27;43;53;70;55;98;130;135;283
hsa_piR_019544/gb/DQ596830/Homo;2;2;4;3;2;6;6;8;18
hsa_piR_019675/gb/DQ596992/Homo;13;7;6;14;5;13;10;19;89
hsa_piR_019676/gb/DQ596993/Homo;57;32;35;60;33;52;42;42;224
hsa_piR_019752/gb/DQ597110/Homo;4;3;3;4;5;8;2;2;44
hsa_piR_019822/gb/DQ597215/Homo;7;2;3;3;2;1;1;2;18
hsa_piR_019823/gb/DQ597216/Homo;7;3;1;3;3;5;4;3;10
hsa_piR_019824/gb/DQ597217/Homo;4;2;3;5;2;4;7;3;15
hsa_piR_019825/gb/DQ597218/Homo;10;4;8;11;23;16;7;46;88
hsa_piR_019911/gb/DQ597340/Homo;7;4;3;4;7;5;3;6;25
hsa_piR_019912/gb/DQ597341/Homo;3;1;8;7;4;2;8;2;15
hsa_piR_019914/gb/DQ597347/Homo;982;297;521;1,000;558;621;747;1,505;3,393
hsa_piR_019949/gb/DQ597397/Homo;33;16;32;38;29;32;29;33;137
hsa_piR_019951/gb/DQ597403/Homo;104;26;65;42;52;50;50;43;170
hsa_piR_020008/gb/DQ597482/Homo;24;7;17;7;23;17;31;25;40
hsa_piR_020009/gb/DQ597484/Homo;125;39;95;85;150;166;104;172;694
hsa_piR_020326/gb/DQ597916/Homo;282;90;144;187;161;156;138;355;683
hsa_piR_020345/gb/DQ597945/Homo;73;97;156;267;41;58;241;10;266
hsa_piR_020364/gb/DQ597971/Homo;4;2;5;4;4;8;2;1;24
hsa_piR_020365/gb/DQ597975/Homo;88;15;42;64;33;35;63;55;218
hsa_piR_020381/gb/DQ597997/Homo;54;21;30;43;12;23;42;27;141
hsa_piR_020388/gb/DQ598008/Homo;20;12;17;30;12;4;10;6;44
hsa_piR_020401/gb/DQ598029/Homo;5;1;3;6;1;1;5;6;17
hsa_piR_020450/gb/DQ598104/Homo;106;7;31;94;31;28;63;106;161
hsa_piR_020485/gb/DQ598159/Homo;71;90;76;109;35;52;102;25;233
hsa_piR_020496/gb/DQ598175/Homo;282;96;188;238;68;67;235;92;367
hsa_piR_020497/gb/DQ598177/Homo;35;48;73;132;16;21;95;10;73
hsa_piR_020498/gb/DQ598180/Homo;44;4;11;25;10;7;16;17;52
hsa_piR_020499/gb/DQ598183/Homo;568;92;272;473;501;442;305;2,044;2,283
hsa_piR_020500/gb/DQ598190/Homo;103;25;67;127;32;43;79;80;232
hsa_piR_020541/gb/DQ598252/Homo;32;1;7;12;2;5;4;7;31
hsa_piR_020548/gb/DQ598263/Homo;4;1;1;2;4;2;3;8;13
hsa_piR_020570/gb/DQ598294/Homo;4;3;3;6;6;8;8;5;45
hsa_piR_020582/gb/DQ598312/Homo;101;264;91;192;170;712;155;100;1,711
hsa_piR_020657/gb/DQ598428/Homo;5;0;4;6;6;10;3;30;36
hsa_piR_020813/gb/DQ598646/Homo;30;3;9;16;12;14;17;22;59
hsa_piR_020814/gb/DQ598650/Homo;10;3;5;17;12;9;3;14;25
hsa_piR_020815/gb/DQ598651/Homo;29;11;8;20;24;28;18;32;106
hsa_piR_020828/gb/DQ598675/Homo;133;118;123;154;29;21;127;34;102
hsa_piR_020829/gb/DQ598677/Homo;487;206;280;471;480;690;357;754;2,760
hsa_piR_020893/gb/DQ598752/Homo;2;1;1;1;1;1;0;2;19
hsa_piR_021032/gb/DQ598918/Homo;17;14;16;14;24;27;13;13;101
hsa_piR_021462/gb/DQ599459/Homo;19;10;7;16;24;20;10;8;76
hsa_piR_022017/gb/DQ600174/Homo;0;0;2;1;3;3;1;2;11
hsa_piR_022290/gb/DQ600508/Homo;4;2;4;7;14;13;3;7;48
hsa_piR_022296/gb/DQ600515/Homo;2;1;1;5;1;2;5;5;11
hsa_piR_022417/gb/DQ600666/Homo;8;2;6;6;21;24;7;25;88
hsa_piR_022628/gb/DQ600952/Homo;15;13;12;12;3;4;14;2;15
hsa_piR_023101/gb/DQ601590/Homo;9;2;4;8;3;2;3;9;17
hsa_piR_023338/gb/DQ601914/Homo;2;0;1;4;6;4;3;7;34
