;A549CM8_S5-READs;A549CM4_S8-READs;A549CM1_S5-READs;A549CM2_S6-READs;A549KM4_S4-READs;A549KM1_S2-READs;A549CM3_S7-READs;A549KM0220321_S1-READs;A549KM2_S3-READs
hsa-miR-182-3p;13;12;10;14;21;20;16;19;107
hsa-miR-182-5p;5,585;1,497;3,298;3,851;3,425;2,670;3,373;3,888;15,040
hsa-miR-183-3p;28;9;14;31;18;27;13;14;114
hsa-miR-183-5p;2,268;625;1,284;1,692;1,641;1,661;1,484;1,951;7,764
hsa-miR-184;10;6;4;7;7;2;4;6;26
hsa-miR-185-3p;8;7;14;25;12;11;15;16;70
hsa-miR-185-5p;1,760;578;1,230;1,935;1,452;1,247;1,505;1,286;6,837
hsa-miR-186-3p;14;9;12;16;14;15;6;12;86
hsa-miR-186-5p;1,929;1,046;1,396;1,951;1,411;1,473;1,669;1,257;6,988
hsa-miR-187-3p;8;6;5;17;14;19;10;33;78
hsa-miR-188-3p;2;0;0;0;0;0;1;2;12
hsa-miR-188-5p;16;15;12;11;13;24;11;17;92
hsa-miR-18a-3p;49;33;43;78;41;101;55;19;307
hsa-miR-18a-5p;353;223;260;308;281;304;269;198;1,392
hsa-miR-1908-3p;7;0;4;14;6;2;16;6;31
hsa-miR-1908-5p;8;0;3;11;2;0;2;10;15
hsa-miR-1909-3p;182;65;155;259;84;52;207;95;455
hsa-miR-190a-3p;6;8;7;4;10;10;11;4;51
hsa-miR-190a-5p;496;297;311;468;575;587;345;496;2,700
hsa-miR-190b;32;18;20;33;19;21;29;22;110
hsa-miR-191-3p;17;6;16;23;58;49;14;50;221
hsa-miR-191-5p;6,782;1,366;4,142;6,686;5,420;4,524;5,004;8,239;26,643
hsa-miR-1911-5p;6;3;5;3;5;7;8;0;33
hsa-miR-1914-3p;7;4;2;8;2;1;16;3;23
hsa-miR-1914-5p;6;1;2;5;0;1;7;1;11
hsa-miR-192-3p;124;72;83;129;190;170;94;140;774
hsa-miR-192-5p;24,437;11,609;18,766;24,855;24,446;23,092;20,400;23,036;114,733
hsa-miR-193a-3p;9;14;7;11;8;21;7;8;65
hsa-miR-193a-5p;124;20;92;159;42;49;104;82;303
hsa-miR-193b-3p;415;401;353;569;255;511;545;113;1,683
hsa-miR-193b-5p;782;140;442;855;257;297;652;415;1,568
hsa-miR-194-3p;50;16;31;57;74;80;33;90;416
hsa-miR-194-5p;8,259;5,218;7,119;8,646;9,300;8,715;7,724;6,317;42,924
hsa-miR-195-3p;14;10;6;11;8;2;9;10;25
hsa-miR-195-5p;241;127;170;215;199;205;169;104;839
hsa-miR-196a-3p;2;6;1;2;10;3;6;5;32
hsa-miR-196a-5p;2,046;806;1,454;1,927;1,501;1,346;1,417;1,558;6,871
hsa-miR-196b-3p;5;0;3;6;0;1;4;2;13
hsa-miR-196b-5p;698;210;318;441;382;338;332;504;1,762
hsa-miR-197-3p;153;50;115;260;112;133;184;99;597
hsa-miR-197-5p;7;3;2;9;3;2;6;7;11
hsa-miR-1972;5;2;2;10;4;7;7;4;29
hsa-miR-1976;2;2;1;6;1;1;3;1;28
hsa-miR-199a-3p;170;4;3;5;7;8;3;12;23
hsa-miR-199a-5p;29;15;23;42;10;12;27;5;62
hsa-miR-199b-3p;32;4;3;13;20;35;14;10;98
hsa-miR-199b-5p;11;3;2;4;2;1;5;1;8
hsa-miR-19a-3p;1,218;938;830;893;1,177;1,244;843;946;5,507
hsa-miR-19a-5p;15;9;8;5;18;16;12;22;87
hsa-miR-19b-1-5p;10;25;14;15;29;70;9;17;182
hsa-miR-19b-3p;4,603;2,509;2,600;3,079;3,738;3,844;3,248;3,344;17,264
hsa-miR-200a-3p;1,998;1,179;1,433;2,171;342;333;1,833;228;1,569
hsa-miR-200a-5p;31;13;13;12;5;4;10;4;11
hsa-miR-200b-3p;807;513;647;919;136;184;749;104;711
hsa-miR-200b-5p;18;7;17;33;11;3;25;4;12
hsa-miR-200c-3p;91;22;61;64;49;58;45;51;269
hsa-miR-200c-5p;3;0;0;4;0;4;0;5;14
hsa-miR-203a-3p;94;38;56;84;21;20;76;25;96
hsa-miR-203a-5p;4;1;3;10;4;3;11;6;47
hsa-miR-203b-5p;5;1;6;5;1;3;2;2;16
hsa-miR-204-3p;0;0;0;1;0;0;2;0;11
hsa-miR-204-5p;5;2;3;8;0;3;1;2;10
hsa-miR-205-5p;127;53;58;77;3;3;81;3;5
hsa-miR-2054;21;11;14;12;17;23;18;31;77
hsa-miR-206;10;4;2;7;6;9;4;12;39
hsa-miR-208a-5p;3;2;1;2;2;2;2;0;18
hsa-miR-208b-3p;20;9;13;10;12;7;8;14;45
hsa-miR-20a-3p;62;49;54;63;91;117;70;78;424
hsa-miR-20a-5p;7,074;4,006;5,054;6,811;8,282;8,580;5,992;5,711;41,705
hsa-miR-20b-5p;15;11;16;23;18;22;16;19;103
hsa-miR-21-3p;6,919;2,659;3,627;4,551;5,319;4,807;4,294;5,592;25,632
hsa-miR-21-5p;633,339;256,867;287,009;415,161;368,890;469,414;367,700;236,577;2,089,507
hsa-miR-210-3p;3,101;1,338;1,907;2,412;1,560;1,389;2,306;1,269;6,945
hsa-miR-210-5p;12;0;4;12;1;5;11;0;15
hsa-miR-211-5p;5;1;2;1;2;3;2;5;18
hsa-miR-2110;29;6;14;36;8;8;23;23;85
hsa-miR-2114-5p;2;1;1;5;1;1;5;1;15
hsa-miR-2115-3p;4;3;6;3;13;10;3;12;64
hsa-miR-2116-3p;44;9;19;24;20;26;18;49;150
hsa-miR-2116-5p;65;11;25;42;28;24;25;27;131
hsa-miR-2117;127;34;48;51;21;45;82;30;149
hsa-miR-212-3p;24;13;14;18;20;17;22;8;82
hsa-miR-212-5p;7;3;8;22;8;10;10;4;35
hsa-miR-214-3p;3;0;4;0;7;4;1;0;20
hsa-miR-214-5p;9;3;7;8;18;9;6;21;76
hsa-miR-215-5p;196;125;223;199;148;138;180;125;635
hsa-miR-216a-5p;25;5;16;17;7;18;14;22;92
hsa-miR-216b-3p;0;2;1;20;2;0;9;0;31
hsa-miR-217;9;5;7;8;8;10;5;7;58
hsa-miR-218-2-3p;14;1;1;12;5;4;3;7;26
hsa-miR-218-5p;560;179;263;357;381;406;293;402;1,760
hsa-miR-219a-1-3p;3;0;1;3;4;5;2;3;19
hsa-miR-219a-5p;11;9;9;9;18;19;5;10;72
hsa-miR-219b-5p;16;9;4;14;11;10;10;10;59
hsa-miR-22-3p;9,512;7,082;7,494;12,531;6,199;7,865;10,296;3,424;35,852
hsa-miR-22-5p;344;345;296;492;229;420;436;103;1,453
hsa-miR-221-3p;15,960;10,720;11,926;19,715;12,166;19,008;16,227;9,450;71,856
hsa-miR-221-5p;249;109;118;212;124;272;228;141;955
hsa-miR-222-3p;2,734;2,736;2,278;4,088;2,459;4,798;3,035;1,936;16,576
hsa-miR-222-5p;11;7;6;4;49;72;9;107;326
hsa-miR-223-3p;138;23;859;2,139;790;132;929;72;3,238
hsa-miR-224-3p;2;4;1;3;4;9;3;1;27
hsa-miR-224-5p;15,980;5,763;11,196;15,824;18,792;18,140;12,935;20,366;91,006
hsa-miR-2276-3p;4;0;3;8;3;6;5;2;17
hsa-miR-2277-3p;62;17;60;56;33;25;75;40;161
hsa-miR-2277-5p;13;4;7;17;14;19;23;9;74
hsa-miR-2278;9;6;7;5;8;5;3;6;35
hsa-miR-2355-3p;93;53;73;113;54;82;80;45;325
hsa-miR-2355-5p;9;13;16;9;11;17;8;12;52
hsa-miR-2392;8;13;11;9;11;40;11;11;125
hsa-miR-23a-3p;17,496;10,452;13,535;19,626;15,384;18,728;17,563;10,877;80,416
hsa-miR-23a-5p;44;2;24;43;15;14;23;21;99
hsa-miR-23b-3p;26,644;12,343;16,467;23,209;15,392;18,612;20,104;13,229;80,169
hsa-miR-23b-5p;229;55;94;156;190;219;119;254;1,126
hsa-miR-23c;16;10;9;19;8;22;16;5;111
hsa-miR-24-1-5p;2;5;2;2;1;4;4;2;14
hsa-miR-24-2-5p;16;3;18;12;4;4;10;6;44
hsa-miR-24-3p;37,577;14,725;23,622;33,461;24,891;26,776;26,582;22,198;126,022
hsa-miR-2467-3p;36;12;20;23;7;11;15;19;48
hsa-miR-2467-5p;13;5;6;12;10;8;12;11;68
hsa-miR-25-3p;10,072;2,838;5,894;8,174;8,280;6,783;6,764;9,169;38,732
hsa-miR-25-5p;127;22;86;121;128;131;104;220;637
hsa-miR-2681-3p;3;2;3;7;3;0;0;4;13
hsa-miR-2681-5p;7;2;2;2;3;2;7;6;15
hsa-miR-2682-3p;20;5;10;21;9;29;22;10;71
hsa-miR-2682-5p;14;0;2;5;2;5;4;4;23
hsa-miR-26a-1-3p;9;9;7;9;17;8;7;34;105
hsa-miR-26a-2-3p;190;55;59;103;38;46;103;63;216
hsa-miR-26a-5p;23,302;10,388;14,649;21,037;12,156;15,138;17,187;10,981;66,757
hsa-miR-26b-3p;13;9;7;19;13;19;12;25;91
hsa-miR-26b-5p;10,635;4,774;7,507;10,617;8,950;8,860;8,213;9,314;42,655
hsa-miR-27a-3p;22,721;10,009;13,841;15,917;13,004;11,526;14,409;11,095;58,877
hsa-miR-27a-5p;718;374;602;885;413;582;702;300;2,527
hsa-miR-27b-3p;76,060;22,153;37,097;42,757;53,953;44,412;35,925;59,338;237,572
hsa-miR-27b-5p;312;97;152;181;234;297;141;227;1,273
hsa-miR-28-3p;3,467;764;1,798;2,327;1,643;1,388;1,987;2,291;7,548
hsa-miR-28-5p;146;135;113;183;105;216;145;70;728
hsa-miR-296-3p;25;8;7;20;9;6;17;10;42
hsa-miR-296-5p;2;2;2;4;3;1;0;0;10
hsa-miR-298;5;0;1;4;2;1;1;4;12
hsa-miR-299-3p;10;1;7;6;9;7;14;21;48
hsa-miR-299-5p;57;20;24;42;30;37;46;41;180
hsa-miR-29a-3p;49,488;19,806;26,389;33,859;19,855;19,063;34,217;26,283;91,118
hsa-miR-29a-5p;219;290;173;277;130;239;207;74;753
hsa-miR-29b-1-5p;222;84;109;177;75;107;132;161;419
hsa-miR-29b-2-5p;43;17;33;45;17;21;29;14;93
hsa-miR-29b-3p;29,861;15,017;18,767;23,844;12,196;13,648;19,744;15,253;53,216
hsa-miR-29c-3p;5,449;2,910;3,359;4,280;2,755;2,318;4,068;2,767;11,740
hsa-miR-29c-5p;292;159;204;306;192;161;256;127;770
hsa-miR-300;1;0;0;3;2;2;2;0;11
hsa-miR-301a-3p;605;372;419;566;575;530;497;528;2,581
hsa-miR-301a-5p;29;18;18;30;42;52;13;40;215
hsa-miR-301b-3p;19;17;5;15;14;5;14;8;29
hsa-miR-301b-5p;4;3;2;5;2;3;5;1;13
hsa-miR-302a-5p;19;3;13;8;0;0;11;0;1
hsa-miR-302b-3p;13;7;2;4;1;1;2;2;1
hsa-miR-302b-5p;87;61;73;117;82;64;74;32;396
hsa-miR-302c-5p;1;1;1;1;4;4;0;1;21
hsa-miR-302f;16;34;15;22;9;24;21;8;105
hsa-miR-3064-5p;9;1;4;5;1;6;3;1;24
hsa-miR-30a-3p;1,465;394;862;708;1,215;843;683;1,136;4,406
